battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20220702T133705.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,8.0,victory,103.0,#LGLJCPVYG,ewok,16000019.0,PENNY,1.0,47.0,#LGLJCPVYG,16000019.0
20220702T133455.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,8.0,victory,82.0,#8VCGQ092Q,Matafaka,16000024.0,ROSA,3.0,64.0,#LGLJCPVYG,16000019.0
20220702T133306.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,8.0,victory,82.0,#2GLCCG99Y,Hayoshz,16000013.0,POCO,5.0,94.0,#LGLJCPVYG,16000019.0
20220702T123851.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,8.0,victory,82.0,#YP8LUL2RL,NotKayn,16000007.0,JESSIE,4.0,24.0,#LGLJCPVYG,16000019.0
20220702T123601.000Z,15000067,bossFight,Metal Scrap,bossFight,,,,victory,,,,,,,,#LGLJCPVYG,16000004.0
20220702T072558.000Z,15000541,hunters,Quick and Restless,hunters,ranked,9.0,-3.0,,,,,,,,,#LGLJCPVYG,16000004.0
20250218T070249.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,3.0,8.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T070044.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,5.0,3.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T065805.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,3.0,7.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T065650.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,8.0,,,,,,,,,,#PG2CCG89U,16000050.0
20250218T065352.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,1.0,11.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T065202.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,4.0,6.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064952.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,6.0,2.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064713.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,1.0,11.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064603.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,4.0,6.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064517.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,8.0,,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064434.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,9.0,-1.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064242.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,2.0,8.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064127.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,6.0,2.0,,,,,,,,,#PG2CCG89U,16000050.0
20250218T064111.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,7.0,-2.0,,,,,,,,,#PG2CCG89U,16000043.0
20250218T064005.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,8.0,-5.0,,,,,,,,,#PG2CCG89U,16000043.0
20250218T063910.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,10.0,-8.0,,,,,,,,,#PG2CCG89U,16000043.0
20250218T063618.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,2.0,8.0,,,,,,,,,#PG2CCG89U,16000043.0
20250218T063440.000Z,15000043,soloShowdown,Double Trouble,soloShowdown,ranked,7.0,-2.0,,,,,,,,,#PG2CCG89U,16000043.0
20250212T152613.000Z,15000015,soloShowdown,Rockwall Brawl,soloShowdown,ranked,5.0,1.0,,,,,,,,,#PG2CCG89U,16000043.0
20250212T152507.000Z,15000015,soloShowdown,Rockwall Brawl,soloShowdown,ranked,6.0,-2.0,,,,,,,,,#PG2CCG89U,16000043.0
20250212T152335.000Z,15000015,soloShowdown,Rockwall Brawl,soloShowdown,ranked,8.0,-5.0,,,,,,,,,#PG2CCG89U,16000043.0
20250212T152228.000Z,15000015,soloShowdown,Rockwall Brawl,soloShowdown,ranked,6.0,-2.0,,,,,,,,,#PG2CCG89U,16000043.0
20250212T152059.000Z,15000015,soloShowdown,Rockwall Brawl,soloShowdown,ranked,9.0,-7.0,,,,,,,,,#PG2CCG89U,16000043.0
20250210T125717.000Z,15000045,soloShowdown,Island Invasion,soloShowdown,ranked,2.0,8.0,,,,,,,,,#PG2CCG89U,16000043.0
20250210T125539.000Z,15000045,soloShowdown,Island Invasion,soloShowdown,ranked,8.0,-5.0,,,,,,,,,#PG2CCG89U,16000043.0
20240530T120050.000Z,15000343,gemGrab,Rustic Arcade,gemGrab,ranked,,-2.0,defeat,107.0,#9Q0VL0L9L,아무도나를막을수없음셈ㅋ,16000022.0,TICK,11.0,692.0,#RPGJRPLP,16000006.0
20240530T115745.000Z,15000343,gemGrab,Rustic Arcade,gemGrab,ranked,,8.0,victory,108.0,#JRP88CY8,內湖魏瓔珞,16000046.0,BELLE,11.0,690.0,#RPGJRPLP,16000009.0
20240530T115506.000Z,15000343,gemGrab,Rustic Arcade,gemGrab,ranked,,-2.0,defeat,97.0,#JGVG2GQJG,dirtingus,16000021.0,GENE,9.0,690.0,#RPGJRPLP,16000020.0
20240530T115224.000Z,15000703,knockout,New Horizons,knockout,ranked,,,defeat,99.0,#YJUV0QVV9,뉴비,16000065.0,MANDY,11.0,688.0,#RPGJRPLP,16000030.0
20240530T115012.000Z,15000703,knockout,New Horizons,knockout,ranked,,,defeat,69.0,#9QU9VP0PL,Sean,16000054.0,FANG,9.0,697.0,#RPGJRPLP,16000049.0
20240530T114814.000Z,15000703,knockout,New Horizons,knockout,ranked,,-2.0,defeat,114.0,#GYV082JVU,BP|KOREAN,16000065.0,MANDY,7.0,208.0,#RPGJRPLP,16000009.0
20240530T114533.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,5.0,,,,,,,,,,#RPGJRPLP,16000024.0
20240530T114408.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,5.0,,,,,,,,,,#RPGJRPLP,16000019.0
20240530T114157.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,3.0,4.0,,,,,,,,,#RPGJRPLP,16000030.0
20240530T110435.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,5.0,,,,,,,,,,#RPGJRPLP,16000027.0
20240530T110328.000Z,15000036,duoShowdown,Rockwall Brawl,duoShowdown,ranked,5.0,-2.0,,,,,,,,,#RPGJRPLP,16000020.0
